rank,prev,next,frequency
1,e,r,66715
2,i,n,60888
3,t,i,49645
4,o,n,47067
5,e,s,46929
6,t,e,44229
7,a,t,42056
8,a,l,40559
9,a,n,40043
10,r,e,40023
