rank,letter,frequency
1,e,376455
2,i,313008
3,a,295792
4,o,251596
5,n,251435
6,s,250282
7,r,246143
8,t,230895
9,l,194915
10,c,152980
11,u,131495
12,p,113663
13,d,113192
14,m,105208
15,h,92368
16,g,82627
17,y,70581
18,b,63942
19,f,39238
20,v,33075
21,k,26814
22,w,22407
23,z,14757
24,x,10493
25,q,5883
26,j,5456
